nr. sessions,nr. rest days,total kms,total km Z3-Z4-Z5-T1-T2,"nr. tough sessions (effort in Z5, T1 or T2)",nr. days with interval session,total km Z3-4,max km Z3-4 one day,total km Z5-T1-T2,max km Z5-T1-T2 one day,total hours alternative training,nr. strength trainings,nr. sessions.1,nr. rest days.1,total kms.1,max km one day.1,total km Z3-Z4-Z5-T1-T2.1,"nr. tough sessions (effort in Z5, T1 or T2).1",nr. days with interval session.1,total km Z3-4.1,max km Z3-4 one day.1,total km Z5-T1-T2.1,max km Z5-T1-T2 one day.1,total hours alternative training.1,nr. strength trainings.1,nr. sessions.2,nr. rest days.2,total kms.2,max km one day.2,total km Z3-Z4-Z5-T1-T2.2,"nr. tough sessions (effort in Z5, T1 or T2).2",nr. days with interval session.2,total km Z3-4.2,max km Z3-4 one day.2,total km Z5-T1-T2.2,max km Z5-T1-T2 one day.2,total hours alternative training.2,nr. strength trainings.2,Athlete ID,Date
0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,176
0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,205
0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,116
0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,168
11.0,0.0,183.6,24.5,0.0,2.0,24.0,12.0,0.0,0.0,0.0,0.0,11.0,0.0,165.5,38.0,36.5,0.0,3.0,36.0,17.0,0.0,0.0,0.0,0.0,12.0,0.0,189.8,36.0,11.8,0.0,1.0,10.0,10.0,0.0,0.0,0.0,0.0,1,383
0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,120
8.0,0.0,157.3,39.3,0.0,3.0,39.0,20.0,0.0,0.0,0.0,0.0,9.0,0.0,177.7,31.4,38.7,0.0,3.0,37.0,18.0,0.0,0.0,0.0,0.0,9.0,0.0,170.9,35.0,32.4,0.0,2.0,32.0,20.0,0.0,0.0,0.0,0.0,1,233
0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,112
7.0,1.0,115.3,17.8,1.0,3.0,16.0,10.0,1.0,1.0,0.0,0.0,7.0,0.0,108.6,19.0,28.6,1.0,4.0,23.4,10.0,4.0,4.0,0.0,0.0,10.0,0.0,182.9,38.0,36.4,1.0,4.0,27.0,10.0,8.0,8.0,0.0,0.0,1,299
9.0,0.0,166.2,20.2,2.0,3.0,11.0,9.0,8.2,7.2,0.0,0.0,6.0,1.0,90.6,18.0,11.6,3.0,3.0,0.0,0.0,11.0,6.0,0.0,0.0,7.0,0.0,106.3,24.3,25.3,2.0,2.0,18.0,12.0,7.0,4.0,0.0,0.0,1,261
0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,136
0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,190
7.0,1.0,145.3,16.3,1.0,2.0,10.0,10.0,6.0,6.0,0.0,0.0,11.0,0.0,220.3,39.3,30.3,0.0,3.0,30.0,12.0,0.0,0.0,0.0,1.0,8.0,0.0,166.6,37.0,31.6,1.0,3.0,24.0,14.0,6.0,6.0,0.0,0.0,1,322
8.0,0.0,152.4,46.4,0.0,4.0,45.8,20.0,0.0,0.0,0.0,0.0,8.0,0.0,163.7,31.4,38.7,0.0,3.0,37.0,18.0,0.0,0.0,0.0,0.0,9.0,0.0,170.9,29.0,32.4,0.0,2.0,32.0,20.0,0.0,0.0,0.0,0.0,1,236
0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,126
7.0,1.0,121.3,17.8,1.0,3.0,16.0,10.0,1.0,1.0,0.0,0.0,8.0,0.0,121.9,29.3,36.9,1.0,5.0,31.4,10.0,4.0,4.0,0.0,0.0,10.0,0.0,183.6,38.0,28.1,1.0,3.0,19.0,10.0,8.0,8.0,0.0,0.0,1,298
2.0,5.0,45.5,13.5,0.0,1.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,210
11.0,0.0,175.5,29.5,0.0,2.0,29.0,17.0,0.0,0.0,0.0,0.0,11.0,0.0,172.8,35.0,18.8,0.0,2.0,17.0,10.0,0.0,0.0,0.0,0.0,9.0,1.0,145.0,36.0,6.0,0.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,1,378
9.0,0.0,163.8,10.3,0.0,1.0,10.0,10.0,0.0,0.0,0.0,0.0,5.0,3.0,111.0,38.0,9.0,0.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0,10.0,0.0,195.0,38.0,26.0,1.0,3.0,20.0,11.0,6.0,6.0,0.0,0.0,1,347
11.0,0.0,194.4,25.4,1.0,3.0,20.6,11.0,4.5,4.5,0.0,0.0,7.0,1.0,145.3,36.0,16.3,1.0,2.0,10.0,10.0,6.0,6.0,0.0,0.0,11.0,0.0,220.3,39.3,30.3,0.0,3.0,30.0,12.0,0.0,0.0,0.0,1.0,1,329
0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,133
7.0,1.0,160.0,30.0,2.0,3.0,20.0,13.0,10.0,8.0,0.0,1.0,10.0,0.0,144.3,38.0,28.3,3.0,3.0,0.0,0.0,28.0,12.0,0.75,0.0,6.0,1.0,138.3,38.0,12.3,2.0,2.0,0.0,0.0,12.0,6.0,0.0,0.0,1,33
